異動,藥品代號,藥品英文名稱,藥品中文名稱,成分,劑量,規格,單複方,支付價,有效起日,有效迄日,藥商,廠商,製造廠名稱,劑型,藥品分類,分類分組名稱,ATC代碼,給付規定章節,2023年數量,2023年數量(含包裹),2024年數量,2024年數量(含包裹),2025年數量,2025年數量(含包裹),2026年(1-6月)數量,2026年(1-6月)數量(含包裹),藥品代碼超連結,給付規定章節連結
,A000106100,"Erythromycin Capsules 250mg ""Synmosa""","""健喬""紅黴素膠囊２５０毫克",Erythromycin,250mg,,單方,0,1031101,9991231,健喬信元醫藥生技股份有限公司,健喬信元,政德製藥股份有限公司,膠囊劑,一般學名藥,"Erythromycin,一般錠劑膠囊劑,250mg",J01FA01,"10.1.,10.4.",0,17210.4,15,5385.2,0,2585,0,1054,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000106,"https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=10.1._20250101.pdf,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=10.4._20220301.pdf"
,A000118100,"Ephedrine Hcl Tablets 25mg ""F.Y.""","""福元""鹽酸麻黃鹼錠２５毫克",Ephedrine,25mg,,單方,0,1040701,9991231,福元化學製藥股份有限公司,福元,福元化學製藥股份有限公司,錠劑,一般學名藥,"Ephedrine,一般錠劑膠囊劑,25mg",R03CA02,,0,9,0,0,0,0,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000118,
,A000137151,Brown Mixture Liquid (Without Opium),"""華盛頓"" 複方甘草合劑液（不含阿片）",Antimony Potassium Tartrate 0.24mg/ml+Glycyrrhizic Acid 0.12ml/ml,,60ml,複方,5.5,920301,9991231,華盛頓製藥廠股份有限公司,華盛頓,華盛頓製藥廠股份有限公司,液劑,一般學名藥,"Glycyrrhizic Acid 0.12ml/ml+Antimony Potassium Tartrate 0.24mg/ml,口服液劑,60ml",R05CA10,,546,1366,518,1346,406,820,221,388,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000137,
,A000138209,Testoviron Depot Injection 250mg,持續性蓋世維雄注射液２５０公絲,Testosterone Enanthate,250mg/ml,1ml,單方,0,950101,9991231,臺灣先靈股份有限公司,先靈,瑞安大藥廠股份有限公司,注射劑,研發廠,"Testosterone Enanthate,注射劑,250mg",G03BA03,,0,0,0,0,0,9,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000138,
,A000164100,"Nitroglycerin Tablets ""Nysco""",硝基甘油片,Nitroglycerin,0.4mg,,單方,0,940401,9991231,尼斯可股份有限公司新莊廠,尼斯可,尼斯可股份有限公司新莊廠,錠劑,一般學名藥,"Nitroglycerin,一般錠劑膠囊劑,400mcg",C01DA02,,0,0,0,0,0,6,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000164,
,A000173100,"Fudecough Tablets 15mg ""F.Y.""",〝福元〞福得可錠１５毫克,Dextromethorphan,15mg,,單方,0.47,1110101,9991231,福元化學製藥股份有限公司,福元,福元化學製藥股份有限公司,錠劑,一般學名藥,"Dextromethorphan,一般錠劑膠囊劑,15mg",R05DA09,,5228464.4,6730044.5,6895169.5,9122714.7,6756436.2,8330965.5,2852091.2,3482429.1,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000173,
,A000177100,Muscol Tablets 250mg,抑炎錠２５０公絲,Chlorzoxazone,250mg,,單方,0,940401,9991231,強生化學製藥廠股份有限公司,強生,強生化學製藥廠股份有限公司,錠劑,一般學名藥,"Chlorzoxazone,一般錠劑膠囊劑,250mg",M03BB03,,0,1548,0,1056,0,867,0,516,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000177,
,A000186100,Duoluton S.C. Tablets,導樂通糖衣錠,Estradiol 50mcg+Norgestrel 500mcg,,,複方,0,950101,9991231,臺灣赫美龍股份有限公司,赫美龍,臺灣赫美龍股份有限公司,糖衣錠,一般學名藥,"Estradiol 50mcg+Norgestrel 500mcg,一般錠劑膠囊劑,",G03FA10,,0,1228,0,1377,0,1110,0,566,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000186,
,A000199100,Lasix Tablets,來適泄錠,Furosemide,40mg,,單方,0,900701,9991231,賽諾菲股份有限公司,賽諾菲,臺灣赫美龍股份有限公司,錠劑,研發廠,"Furosemide,一般錠劑膠囊劑,40mg",C03CA01,,0,106,0,100.6,0,110.3,0,108.3,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000199,
,A000208100,Mylanta Tablets,鎂力片,Aluminum Hydroxide 200mg+Dimethicone 20mg+Magnesium Hydroxide 200mg,,,複方,0,941001,9991231,輝瑞大藥廠股份有限公司,輝瑞,派德股份有限公司,錠劑,研發廠,"Dimethicone 20mg+Aluminum Hydroxide 200mg+Magnesium Hydroxide 200mg,一般錠劑膠囊劑,",A02AF02,7.1.,0,179881.1,0,286993.3,0,271460,0,96957.2,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000208,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=7.1._20240801.pdf
,A000315100,Cyprodin Tablets,賽普洛錠,Cyproheptadine,4mg,,單方,0,910401,9991231,金馬化學製藥股份有限公司,金馬,德周製藥股份有限公司,錠劑,一般學名藥,"Cyproheptadine,一般錠劑膠囊劑,4mg",R06AX02,,0,0,0,62.4,0,0,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000315,
,A000373100,Pelitin Capsules,配利真膠囊,Ampicillin,250mg,,單方,0,1000601,9991231,永信藥品工業股份有限公司,永信,永信藥品工業股份有限公司台中幼獅三廠,膠囊劑,一般學名藥,"Ampicillin,一般錠劑膠囊劑,250mg",J01CA01,10.1.,0,21,0,162,0,171,0,89,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000373,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=10.1._20250101.pdf
